protein_id,protein_name,verified_activity,organism_id,organism_name,phylum,substrates, EMBL-GenBank-DDBJ_CDS,EMBL-GenBank-DDBJ_CDS,MGnify,PDB,RefSeq_Protein,UniParc,UniProtKB,UniRef100,UniRef50,UniRef90,literature_dois,sequence_length
1,ISPETase,1,1,Piscinibacter sakaiensis,Pseudomonadota,PEF|PET,,GAP38373;GAP38373.1,,5XFY;5XFZ;5XG0;5XH2;5XH3;5XJH;5YFE;5YNS;6ANE;6EQD;6EQE;6EQF;6EQG;6EQH;6IJ3;6IJ4;6IJ5;6IJ6;6ILW;6ILX;6KUO;6KUQ;6KUS;6KY5;6QGC;7CQB;7CY0;7OSB;7QVH;7SH6;7VWN;7XTW;8CRU;8D1D;8GU4;8GU5;8H5J;8H5K;8H5L;8H5M;8H5O;8H83;8J17;8J45;8J5N;8VE9;8VEK;8VEL;8VEM;9LMS;9LMT;9LMU;9LMV;9LMW;9LMX,WP_054022242.1,UPI0006A8DE61,A0A0K8P6T7,UniRef100_A0A0K8P6T7,UniRef50_A0A0K8P6T7,UniRef90_A0A0K8P6T7,https://doi.org/10.1126/science.aad6359|https://doi.org/10.1038/s41467-017-02255-z|https://doi.org/10.1021/acscatal.0c05126|https://doi.org/10.1021/acscatal.9b00568|https://doi.org/10.1038/s41586-022-04599-z|https://doi.org/10.1038/s41929-022-00821-3|https://doi.org/10.3390/polym15071779|10.1039/D4SU00722K,290
2,PET5,1,2,Oleispira antarctica,Pseudomonadota,PET,,CCK74972.1;CCK74972,,,,UPI0003429338,R4YKL9,UniRef100_R4YKL9,UniRef50_A0A2K9LJV9,UniRef90_R4YKL9,https://doi.org/10.1128/aem.02773-17|https://doi.org/10.1128/AEM.01842-21,310
3,PET6,1,3,Vibrio gazogenes,Pseudomonadota,PET,,ASA57064.1;ASA57064,,,,UPI000480AD3A,A0A1Z2SIQ1,UniRef100_A0A1Z2SIQ1,UniRef50_A0A1N6M769,UniRef90_A0A1Z2SIQ1,https://doi.org/10.1128/aem.02773-17,298
4,PET12,1,4,Caldimonas brevitalea,Pseudomonadota,PET,,AKJ29164.1;AKJ29164,,,WP_047194864.1,UPI00064004B7,A0A0G3BI90,UniRef100_A0A0G3BI90,UniRef50_A0A0K8P6T7,UniRef90_A0A0G3BI90,https://doi.org/10.1128/aem.02773-17|https://doi.org/10.1002/cssc.202202277|https://doi.org/10.1038/s41929-021-00616-y,298
5,PLE628,1,5,Marinobacter sp.,Pseudomonadota,PBAT|PET,,UUT36764,,,,,,,,,https://doi.org/10.3389/fbioe.2022.930140|https://doi.org/10.1038/s41467-020-19583-2,307
6,PLE629,1,5,Marinobacter sp.,Pseudomonadota,PBAT|PET,,UUT36763,,,,,,,,,https://doi.org/10.3389/fbioe.2022.930140|https://doi.org/10.1038/s41467-020-19583-2,316
7,PpCutA,1,11,Ectopseudomonas oleovorans,Pseudomonadota,PET,,ADK73612;ADK73612.1,,,,UPI0001F7277B,E9KJL1,UniRef100_E9KJL1,UniRef50_A0A2K9LJV9,UniRef90_E9KJL1,https://doi.org/10.1139/w11-083|https://doi.org/10.1021/acs.est.7b00062,302
8,PpelaLip,1,7,Halopseudomonas pelagia,Pseudomonadota,PET,,ANP21910.1;ANP21910,,,WP_022964382.1,UPI0003A9F0B5,A0A1B0Z6Y3,UniRef100_A0A1B0Z6Y3,UniRef50_A0A2K9LJV9,UniRef90_A0A1B0Z6Y3,https://doi.org/10.1021/acs.est.7b00062,307
9,PE-H,1,8,Halopseudomonas aestusnigri,Pseudomonadota,PET,,OWL88088.1;OWL88088;SEG46094,,,WP_088276085.1,UPI00089F5A9D,A0A1H6AD45;A0AAQ1JQM2,UniRef100_A0AAQ1JQM2,UniRef50_A0A2K9LJV9,UniRef90_A0A1S8DKK6,https://doi.org/10.3389/fmicb.2020.00114,304
10,PmC,1,9,Ectopseudomonas mendocina,Pseudomonadota,PET,,ABP86951;ABP86951.1,,2FX5,,UPI0000E79739,A4Y035,UniRef100_A4Y035,UniRef50_A0A1H2ERN9,UniRef90_A4Y035,https://doi.org/10.1021/ma9005318,258
