protein_id,protein_name,cluster
252,CYP450,pazy_proteins_cluster_1
30,Tcur_1278,pazy_proteins_cluster_10
278,1465,pazy_proteins_cluster_10
282,1489,pazy_proteins_cluster_10
331,282,pazy_proteins_cluster_10
283,1521,pazy_proteins_cluster_10
290,1482,pazy_proteins_cluster_10
143,406,pazy_proteins_cluster_10
406,ESM006,pazy_proteins_cluster_10
146,412,pazy_proteins_cluster_10
412,ESM033,pazy_proteins_cluster_10
413,ESM035,pazy_proteins_cluster_10
404,DP090,pazy_proteins_cluster_100
261,APET-20,pazy_proteins_cluster_101
210,Est8_89,pazy_proteins_cluster_102
383,DP007,pazy_proteins_cluster_103
388,DP038,pazy_proteins_cluster_104
449,ESM169,pazy_proteins_cluster_104
136,211,pazy_proteins_cluster_105
440,ESM136,pazy_proteins_cluster_105
384,DP008,pazy_proteins_cluster_106
382,DP006,pazy_proteins_cluster_107
393,DP056,pazy_proteins_cluster_108
41,PET46,pazy_proteins_cluster_109
141,403,pazy_proteins_cluster_109
146,412,pazy_proteins_cluster_109
241,PpPETase,pazy_proteins_cluster_109
314,1641,pazy_proteins_cluster_109
316,414,pazy_proteins_cluster_109
341,PC8,pazy_proteins_cluster_109
410,ESM024,pazy_proteins_cluster_109
412,ESM033,pazy_proteins_cluster_109
414,ESM038,pazy_proteins_cluster_109
416,ESM045,pazy_proteins_cluster_109
418,ESM052,pazy_proteins_cluster_109
441,ESM139,pazy_proteins_cluster_109
457,TEP041,pazy_proteins_cluster_109
285,1468,pazy_proteins_cluster_11
298,1678,pazy_proteins_cluster_11
139,305,pazy_proteins_cluster_11
305,1573,pazy_proteins_cluster_11
306,1654,pazy_proteins_cluster_11
312,1457,pazy_proteins_cluster_11
472,TEP163,pazy_proteins_cluster_11
473,TEP164,pazy_proteins_cluster_11
444,ESM156,pazy_proteins_cluster_110
151,611,pazy_proteins_cluster_111
297,1519,pazy_proteins_cluster_111
456,TEP037,pazy_proteins_cluster_111
285,1468,pazy_proteins_cluster_111
468,TEP105,pazy_proteins_cluster_111
327,1392,pazy_proteins_cluster_112
392,DP054,pazy_proteins_cluster_112
223,HG-2,pazy_proteins_cluster_113
258,APET-15,pazy_proteins_cluster_114
399,DP080,pazy_proteins_cluster_115
326,401,pazy_proteins_cluster_116
401,DP082,pazy_proteins_cluster_116
10,PmC,pazy_proteins_cluster_117
132,101,pazy_proteins_cluster_117
186,IS10,pazy_proteins_cluster_117
210,Est8_89,pazy_proteins_cluster_117
310,1240,pazy_proteins_cluster_117
407,ESM010,pazy_proteins_cluster_117
410,ESM024,pazy_proteins_cluster_117
436,ESM101,pazy_proteins_cluster_117
453,TEP010,pazy_proteins_cluster_117
465,TEP101,pazy_proteins_cluster_117
467,TEP103,pazy_proteins_cluster_117
469,TEP109,pazy_proteins_cluster_117
174,PHL-4,pazy_proteins_cluster_118
175,PHL-5,pazy_proteins_cluster_118
176,PHL-6,pazy_proteins_cluster_118
386,DP017,pazy_proteins_cluster_119
317,1506,pazy_proteins_cluster_12
141,403,pazy_proteins_cluster_120
403,DP089,pazy_proteins_cluster_120
136,211,pazy_proteins_cluster_121
211,Est11_32,pazy_proteins_cluster_121
264,APET-25,pazy_proteins_cluster_122
225,HG-4,pazy_proteins_cluster_123
260,APET-19,pazy_proteins_cluster_124
137,214,pazy_proteins_cluster_125
214,Ces39_5,pazy_proteins_cluster_125
263,APET-24,pazy_proteins_cluster_126
267,APET-28,pazy_proteins_cluster_127
417,ESM050,pazy_proteins_cluster_128
320,1478,pazy_proteins_cluster_128
478,TEP189,pazy_proteins_cluster_128
135,204,pazy_proteins_cluster_129
324,1868,pazy_proteins_cluster_13
142,405,pazy_proteins_cluster_13
405,DP092,pazy_proteins_cluster_13
144,407,pazy_proteins_cluster_13
407,ESM010,pazy_proteins_cluster_13
410,ESM024,pazy_proteins_cluster_13
411,ESM026,pazy_proteins_cluster_13
316,414,pazy_proteins_cluster_13
414,ESM038,pazy_proteins_cluster_13
265,APET-26,pazy_proteins_cluster_130
213,Ces19_14,pazy_proteins_cluster_131
231,DmC,pazy_proteins_cluster_132
139,305,pazy_proteins_cluster_133
319,1395,pazy_proteins_cluster_133
327,1392,pazy_proteins_cluster_133
441,ESM139,pazy_proteins_cluster_133
44,HiC,pazy_proteins_cluster_134
144,407,pazy_proteins_cluster_134
244,PD3,pazy_proteins_cluster_134
440,ESM136,pazy_proteins_cluster_134
442,ESM140,pazy_proteins_cluster_134
444,ESM156,pazy_proteins_cluster_134
446,ESM159,pazy_proteins_cluster_134
448,ESM167,pazy_proteins_cluster_134
232,RtC,pazy_proteins_cluster_134
251,Trypsin,pazy_proteins_cluster_135
43,FsC,pazy_proteins_cluster_136
143,406,pazy_proteins_cluster_136
243,HGMP01,pazy_proteins_cluster_136
391,DP043,pazy_proteins_cluster_136
415,ESM043,pazy_proteins_cluster_136
430,ESM082,pazy_proteins_cluster_136
432,ESM090,pazy_proteins_cluster_136
434,ESM096,pazy_proteins_cluster_136
436,ESM101,pazy_proteins_cluster_136
438,ESM128,pazy_proteins_cluster_136
443,ESM144,pazy_proteins_cluster_136
182,FoCut5a,pazy_proteins_cluster_136
288,1821,pazy_proteins_cluster_136
230,TaC,pazy_proteins_cluster_137
14,EstB,pazy_proteins_cluster_138
137,214,pazy_proteins_cluster_138
140,307,pazy_proteins_cluster_138
142,405,pazy_proteins_cluster_138
144,407,pazy_proteins_cluster_138
146,412,pazy_proteins_cluster_138
148,CtPl,pazy_proteins_cluster_138
185,SM14est,pazy_proteins_cluster_138
213,Ces19_14,pazy_proteins_cluster_138
228,jmPE14,pazy_proteins_cluster_138
278,1465,pazy_proteins_cluster_138
282,1489,pazy_proteins_cluster_138
285,1468,pazy_proteins_cluster_138
287,1491,pazy_proteins_cluster_138
289,1477,pazy_proteins_cluster_138
299,1496,pazy_proteins_cluster_138
302,1463,pazy_proteins_cluster_138
312,1457,pazy_proteins_cluster_138
314,1641,pazy_proteins_cluster_138
316,414,pazy_proteins_cluster_138
318,1493,pazy_proteins_cluster_138
320,1478,pazy_proteins_cluster_138
329,1424,pazy_proteins_cluster_138
414,ESM038,pazy_proteins_cluster_138
442,ESM140,pazy_proteins_cluster_138
454,TEP014,pazy_proteins_cluster_138
471,TEP114,pazy_proteins_cluster_138
170,RCut,pazy_proteins_cluster_139
495,PET93,pazy_proteins_cluster_14
299,1496,pazy_proteins_cluster_14
496,PET94,pazy_proteins_cluster_14
235,LipMRD9,pazy_proteins_cluster_140
138,301,pazy_proteins_cluster_141
183,MRCUT1,pazy_proteins_cluster_142
4,PET12,pazy_proteins_cluster_143
12,PpEst,pazy_proteins_cluster_143
30,Tcur_1278,pazy_proteins_cluster_143
120,Cbotu_EstA,pazy_proteins_cluster_143
146,412,pazy_proteins_cluster_143
188,IS12,pazy_proteins_cluster_143
209,Lip4_120,pazy_proteins_cluster_143
212,Est18_23,pazy_proteins_cluster_143
310,1240,pazy_proteins_cluster_143
312,1457,pazy_proteins_cluster_143
333,1228,pazy_proteins_cluster_143
408,ESM012,pazy_proteins_cluster_143
412,ESM033,pazy_proteins_cluster_143
437,ESM121,pazy_proteins_cluster_143
494,E4,pazy_proteins_cluster_144
177,Sub1,pazy_proteins_cluster_145
451,ESM177,pazy_proteins_cluster_145
140,307,pazy_proteins_cluster_146
442,ESM140,pazy_proteins_cluster_146
195,BurPL,pazy_proteins_cluster_15
296,1537,pazy_proteins_cluster_16
299,1496,pazy_proteins_cluster_16
455,TEP024,pazy_proteins_cluster_16
464,TEP097,pazy_proteins_cluster_16
466,TEP102,pazy_proteins_cluster_16
400,DP081,pazy_proteins_cluster_17
288,1821,pazy_proteins_cluster_18
334,1876,pazy_proteins_cluster_18
418,ESM052,pazy_proteins_cluster_19
458,TEP054,pazy_proteins_cluster_19
461,TEP083,pazy_proteins_cluster_19
289,1477,pazy_proteins_cluster_19
477,TEP181,pazy_proteins_cluster_19
212,Est18_23,pazy_proteins_cluster_2
397,DP068,pazy_proteins_cluster_20
408,ESM012,pazy_proteins_cluster_20
209,Lip4_120,pazy_proteins_cluster_21
415,ESM043,pazy_proteins_cluster_22
427,ESM070,pazy_proteins_cluster_23
435,ESM097,pazy_proteins_cluster_23
145,409,pazy_proteins_cluster_24
409,ESM021,pazy_proteins_cluster_24
441,ESM139,pazy_proteins_cluster_24
440,ESM136,pazy_proteins_cluster_25
387,DP021,pazy_proteins_cluster_26
319,1395,pazy_proteins_cluster_27
395,DP059,pazy_proteins_cluster_27
